District_no,Division_no,Name_official,Name_GADM41,Latitude,Longitude
28,3,Bagerhat,Bagerhat,22.651568,89.785938
11,1,Bandarban,Bandarban,22.1953275,92.2183773
35,4,Barguna,Barguna,22.159182,90.125581
33,4,Barisal,Barisal,22.7004179,90.3731568
34,4,Bhola,Bhola,22.685923,90.648179
14,2,Bogura,Bogra,24.8465228,89.377755
3,1,Brahmanbaria,Brahamanbaria,23.9570904,91.1119286
6,1,Chandpur,Chandpur,23.2332585,90.6712912
18,2,Chapainawabganj,Nawabganj,24.5965034,88.2775122
8,1,Chattogram,Chittagong,22.335109,91.834073
24,3,Chuadanga,Chuadanga,23.6401961,88.841841
9,1,Coxsbazar,Cox'S Bazar,21.44315751,91.97381741
1,1,Cumilla,Comilla,23.4682747,91.1788135
47,6,Dhaka,Dhaka,23.7115253,90.4111451
54,7,Dinajpur,Dinajpur,25.6217061,88.6354504
52,6,Faridpur,Faridpur,23.6070822,89.8429406
2,1,Feni,Feni,23.023231,91.3840844
57,7,Gaibandha,Gaibandha,25.328751,89.528088
41,6,Gazipur,Gazipur,24.0022858,90.4264283
51,6,Gopalganj,Gopalganj,23.0050857,89.8266059
38,5,Habiganj,Habiganj,24.374945,91.41553
63,8,Jamalpur,Jamalpur,24.937533,89.937775
20,3,Jashore,Jessore,23.16643,89.2081126
30,4,Jhalakathi,Jhalokati,22.6422689,90.2003932
29,3,Jhenaidah,Jhenaidah,23.5448176,89.1539213
17,2,Joypurhat,Joypurhat,25.09636876,89.0400428
10,1,Khagrachhari,Khagrachhari,23.119285,91.984663
27,3,Khulna,Khulna,22.815774,89.568679
45,6,Kishoreganj,Kishoreganj,24.444937,90.776575
60,7,Kurigram,Kurigram,25.805445,89.636174
25,3,Kushtia,Kushtia,23.901258,89.120482
7,1,Lakshmipur,Lakshmipur,22.942477,90.841184
55,7,Lalmonirhat,Lalmonirhat,25.9165451,89.4532409
50,6,Madaripur,Madaripur,23.164102,90.1896805
26,3,Magura,Magura,23.487337,89.419956
46,6,Manikganj,Manikganj,23.8602262,90.0018293
22,3,Meherpur,Meherpur,23.762213,88.631821
37,5,Moulvibazar,Maulvibazar,24.482934,91.777417
48,6,Munshiganj,Munshiganj,23.5435742,90.5354327
62,8,Mymensingh,Mymensingh,24.746567,90.4072093
19,2,Naogaon,Naogaon,24.83256191,88.92485205
23,3,Narail,Narail,23.172534,89.512672
43,6,Narayanganj,Narayanganj,23.63366,90.496482
40,6,Narsingdi,Narsingdi,23.932233,90.71541
16,2,Natore,Natore,24.420556,89.000282
64,8,Netrokona,Netrakona,24.870955,90.727887
56,7,Nilphamari,Nilphamari,25.931794,88.856006
5,1,Noakhali,Noakhali,22.869563,91.099398
13,2,Pabna,Pabna,23.998524,89.233645
53,7,Panchagarh,Panchagarh,26.3411,88.5541606
31,4,Patuakhali,Patuakhali,22.3596316,90.3298712
32,4,Pirojpur,Pirojpur,22.5781398,89.9983909
49,6,Rajbari,Rajbari,23.7574305,89.6444665
15,2,Rajshahi,Rajshahi,24.37230298,88.56307623
4,1,Rangamati,Rangamati,22.65561018,92.17541121
59,7,Rangpur,Rangpur,25.7558096,89.244462
21,3,Satkhira,Satkhira,22.7180905,89.0687033
42,6,Shariatpur,Shariatpur,23.2060195,90.3477725
61,8,Sherpur,Sherpur,25.0204933,90.0152966
12,2,Sirajganj,Sirajganj,24.4533978,89.7006815
39,5,Sunamganj,Sunamganj,25.0658042,91.3950115
36,5,Sylhet,Sylhet,24.8897956,91.8697894
44,6,Tangail,Tangail,24.264145,89.918029
58,7,Thakurgaon,Thakurgaon,26.0336945,88.4616834
